width,height,keypoint_0_x,keypoint_0_y,keypoint_1_x,keypoint_1_y,keypoint_2_x,keypoint_2_y,keypoint_3_x,keypoint_3_y,keypoint_4_x,keypoint_4_y,keypoint_5_x,keypoint_5_y,keypoint_6_x,keypoint_6_y,keypoint_7_x,keypoint_7_y,keypoint_8_x,keypoint_8_y,keypoint_9_x,keypoint_9_y,keypoint_10_x,keypoint_10_y,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,quality
52,51,115.59856,120.37747,129.42189,109.98288,146.78526,146.57043,154.51535,192.80876,6.265869,0.36276668,9.616547,4.937165,42.96448,153.12393,177.82907,102.66245,158.023,73.49733,3.634633,0.24772975,111.48366,29.044176,13.823334,26.192963,7.7300873,192.446,4.574398,87.08770243326823,43.90798,125.787254,0.6
83,59,110.95216,100.74291,119.90774,72.22403,148.02808,146.53137,152.08391,207.37482,128.34427,185.66495,70.09276,208.57883,45.589695,138.86057,193.64697,90.114265,175.90453,61.38024,1.1820002,1.171246,105.17983,34.04172,8.955574,45.78846,4.055832,21.70987,22.91388,-61.67896525065103,56.417107,118.72574,0.6
56,42,98.899864,104.50806,112.73079,53.84501,130.60703,106.29026,133.81844,180.90848,10.749786,1.0893712,80.719986,184.82501,54.168102,103.76275,163.70099,64.94581,144.63206,44.158913,0.56325614,0.08626996,104.94993,2.4031262,13.830925,1.7822037,3.2114105,179.8191,183.73564,-18.51154327392578,41.34446,112.167534,0.6
92,55,119.427475,102.00518,137.30614,66.542274,156.0131,140.67673,147.83875,193.82257,137.6752,151.85495,96.60351,174.75803,72.22748,106.02835,199.05359,100.838425,176.18492,54.03666,5.921214,1.7184322,127.734116,19.220419,17.878662,38.671547,8.174362,41.96762,22.903076,-67.45016479492188,39.838303,131.38492,0.6
227,168,130.90706,109.869644,141.53311,88.32127,152.06912,120.33119,158.11932,165.54631,142.71196,147.35847,111.88582,161.2211,99.57033,127.442345,162.0744,78.71342,143.16638,54.469086,1.6100626,1.1718551,111.54779,37.235687,10.626053,10.461548,6.0502014,18.187836,13.862625,-30.59961700439453,41.617767,139.92305,0.6
94,72,108.92472,77.65344,124.98328,53.174995,137.97066,116.93871,141.41423,161.68674,116.75389,134.83417,72.682365,161.18314,59.906025,123.58622,181.48254,52.012344,169.88759,32.187878,134.64207,28.510496,127.8631,10.334878,16.058556,39.28527,3.443573,26.85257,26.348969,-28.981793721516937,64.92638,-9.658798,0.6
124,75,110.34651,126.241104,133.21613,84.62367,135.36499,144.54948,126.50472,199.42534,105.79507,175.76265,75.60316,188.79254,64.3183,142.305,170.73901,89.828064,148.55826,44.079525,136.1975,22.21058,138.91104,4.2474227,22.869614,18.30838,8.860268,23.66269,13.029892,-45.68851725260416,54.721413,-2.981369,0.6
78,48,99.36434,142.7139,108.20203,102.71292,128.45502,135.04433,130.95566,188.58942,116.497246,179.0042,99.56845,197.01909,84.635605,167.42513,143.79976,72.80887,107.49387,74.12476,1.0435339,0.71231544,93.54922,43.755394,8.837685,-7.669571,2.5006409,9.58522,18.014893,-20.77911885579428,62.23545,107.15849,0.6
72,31,136.6183,145.30763,150.84344,106.43564,163.29948,148.21355,165.7803,213.64035,147.59315,194.97946,122.19762,207.46475,110.46603,167.08147,184.37437,114.528046,168.8842,79.473785,158.84102,56.510418,156.18257,17.624022,14.225143,2.9059143,2.4808197,18.660889,12.485291,-38.280064900716155,33.685497,-7.997574,0.6
92,60,85.144,118.36785,97.56621,97.38467,112.54748,138.41208,116.74943,191.90044,104.21351,170.0286,73.829094,179.14507,61.91056,165.11205,142.08897,78.97349,101.49975,51.378098,0.9635248,0.68579286,61.344475,21.532051,12.422211,20.044228,4.20195,21.871841,9.11647,-15.245986938476562,59.43859,96.602684,0.6
279,156,88.46971,133.13028,92.99254,82.716896,108.54658,147.99371,108.74687,209.61237,96.314545,180.1787,62.736588,202.47998,49.625385,153.39122,138.54059,86.86139,115.45988,46.08509,0.8762448,1.1383538,83.729904,23.381998,4.522827,14.863434,0.2002945,29.43367,22.301285,-44.03246561686197,61.132324,92.116295,0.6
165,109,93.097534,103.66483,111.48818,90.85812,124.2009,143.35966,120.56356,207.63535,102.91058,166.52516,80.10688,166.96335,64.02847,99.16378,149.63477,104.451935,141.3446,64.71618,99.253746,13.666772,183.91612,16.323675,18.390648,39.69483,3.6373367,41.110184,0.43818665,-81.21085357666016,38.907738,12.234436,0.6
40,38,94.8773,89.80913,96.73302,70.40581,121.312546,129.80804,128.75804,182.59956,110.452896,168.33292,69.38417,175.27852,49.04743,142.72661,147.12566,81.59045,137.60054,40.504456,1.1232888,0.70273143,106.16739,4.4920373,1.8557205,39.998917,7.4454956,14.266647,6.9456024,-32.67705790201822,48.217598,95.609726,0.6
107,59,115.40547,106.91934,130.9357,83.42928,150.02388,155.25922,142.10219,191.7804,108.30908,151.10822,67.091286,174.87419,34.86167,130.9251,184.39574,119.25697,169.25635,82.8886,166.48804,46.80568,195.63045,20.740667,15.530228,48.339874,7.921692,40.67218,23.765976,-41.662511189778655,36.002243,-35.552338,0.6
58,37,119.315506,83.53854,126.21686,66.85851,145.7285,104.328125,147.68762,176.23148,123.27305,147.42094,90.99583,163.77554,79.93434,134.27586,168.2644,65.43659,142.40419,55.5067,1.766664,1.479478,117.15992,31.098755,6.901352,20.789581,1.9591217,28.810532,16.354599,-28.200119018554688,38.891533,124.450195,0.6
